Grid_Id,Grid_center_x,Grid_center_y,
69,121.47963,31.21004167,
70,121.487113007,31.2160197697,
71,121.50193939,31.2180398,
72,121.491628241,31.2118066074,
73,121.498791718,31.216510303,
74,121.487756489,31.2146509835,
75,121.495230305,31.2133535156,
76,121.487913012,31.2145711924,
77,121.487642512,31.2109411196,
78,121.482030171,31.2138881078,
79,121.485527642,31.2154886331,
80,121.489376128,31.2113365572,
81,121.485665832,31.2143169191,
82,121.493343789,31.2139783558,
83,121.492668127,31.2105975773,
84,121.489470475,31.2120853903,
85,121.502139121,31.2164882394,
86,121.500929792,31.2141819585,
87,121.486185913,31.2123767962,
88,121.492982383,31.2170639617,
89,121.497738379,31.2168659976,
90,121.483648269,31.2160420532,
91,121.496373814,31.2123397507,
92,121.501561624,31.2147226417,
93,121.490498501,31.2110334082,
94,121.482324282,31.2117784404,
95,121.483848907,31.2158572386,
96,121.4824792,31.2114174,
97,121.50229163,31.2174806085,
98,121.484504359,31.2142187039,
99,121.483879452,31.2099521364,
100,121.49144366,31.2108105558,
101,121.490835196,31.2161815453,
102,121.495589831,31.2134759726,
103,121.4912383,31.21626833,
104,121.481431603,31.2141600338,
105,121.496032591,31.2170807755,
106,121.496545249,31.2170355203,
107,121.481113458,31.2138436449,
108,121.48138447,31.2137857752,
109,121.488941064,31.2146312265,
110,121.493590964,31.2139079635,
111,121.499805321,31.2132575152,
112,121.493947707,31.2136744645,
113,121.48692352,31.2111635174,
114,121.478967999,31.2105431506,
115,121.482275109,31.209473832,
116,121.489858493,31.2171519554,
117,121.482614591,31.2095993173,
118,121.490247438,31.217063837,
119,121.4838,31.21246333,
120,121.48735707,31.2160982522,
121,121.491147965,31.2161658857,
122,121.495939571,31.2145060697,
123,121.496109792,31.2148187528,
124,121.502330739,31.2162012715,
125,121.480745412,31.209059454,
126,121.488278477,31.2163806814,
127,121.48,31.21351667,
128,121.48476567,31.2150477662,
129,121.481137961,31.2116204182,
130,121.488703734,31.2172314194,
131,121.481980667,31.2128751918,
132,121.48138113,31.2117293652,
133,121.493671935,31.2159318606,
134,121.485557204,31.214433316,
135,121.493251398,31.2107283244,
136,121.494357701,31.2132758723,
137,121.48333897,31.2141129293,
138,121.4827767,31.20993833,
139,121.482933883,31.2096967342,
140,121.484150277,31.2101036405,
141,121.492040471,31.2107720199,
142,121.491398372,31.2139648022,
143,121.487422116,31.2109536703,
144,121.48169313,31.2134338786,
145,121.481086821,31.209148998,
146,121.48077559,31.2164495493,
147,121.5013467,31.219175,
148,121.485694249,31.2134060918,
149,121.489532007,31.2134283011,
150,121.497201298,31.2143489587,
